1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,8,1000,0,1e-06,4,0.005,5e-05,5e-07,0.5,0.25,0.25,86.792,0.027943
2,8,1000,0,1e-06,4,0.005,5e-05,5e-07,0.6,0.2,0.2,721.62,-0.28176
3,8,1000,0,1e-06,4,0.005,5e-05,5e-07,0.7,0.15,0.15,77.294,0.11961
4,8,1000,0,1e-06,4,0.005,5e-05,5e-07,0.8,0.1,0.1,62.287,0.12036
5,8,1000,0,1e-06,5,0.005,5e-05,5e-07,0.5,0.25,0.25,120.12,-0.48542
6,8,1000,0,1e-06,5,0.005,5e-05,5e-07,0.6,0.2,0.2,82.428,0.33851
7,8,1000,0,1e-06,5,0.005,5e-05,5e-07,0.7,0.15,0.15,101.51,-0.11757
8,8,1000,0,1e-06,5,0.005,5e-05,5e-07,0.8,0.1,0.1,80.817,0.25064
9,8,1000,0,1e-06,6,0.005,5e-05,5e-07,0.5,0.25,0.25,79.474,0.19567
10,8,1000,0,1e-06,6,0.005,5e-05,5e-07,0.6,0.2,0.2,70.387,-0.076298
11,8,1000,0,1e-06,6,0.005,5e-05,5e-07,0.7,0.15,0.15,67.134,0.32903
12,8,1000,0,1e-06,6,0.005,5e-05,5e-07,0.8,0.1,0.1,78.838,-0.36423
13,8,1000,0,1e-06,7,0.005,5e-05,5e-07,0.5,0.25,0.25,195.89,-0.19591
14,8,1000,0,1e-06,7,0.005,5e-05,5e-07,0.6,0.2,0.2,55.844,0.28735
15,8,1000,0,1e-06,7,0.005,5e-05,5e-07,0.7,0.15,0.15,91.557,0.104
16,8,1000,0,1e-06,7,0.005,5e-05,5e-07,0.8,0.1,0.1,75.806,0.22206
17,8,1000,0,1e-06,8,0.005,5e-05,5e-07,0.5,0.25,0.25,77.11,0.30252
18,8,1000,0,1e-06,8,0.005,5e-05,5e-07,0.6,0.2,0.2,55.215,0.46909
19,8,1000,0,1e-06,8,0.005,5e-05,5e-07,0.7,0.15,0.15,77.692,0.01173
20,8,1000,0,1e-06,8,0.005,5e-05,5e-07,0.8,0.1,0.1,96.75,0.28799
21,8,1000,0,1e-06,9,0.005,5e-05,5e-07,0.5,0.25,0.25,40.089,0.67795
22,8,1000,0,1e-06,9,0.005,5e-05,5e-07,0.6,0.2,0.2,228.41,-0.39075
23,8,1000,0,1e-06,9,0.005,5e-05,5e-07,0.7,0.15,0.15,57.42,0.53246
24,8,1000,0,1e-06,9,0.005,5e-05,5e-07,0.8,0.1,0.1,98.219,-0.056154
25,8,1000,0,1e-06,10,0.005,5e-05,5e-07,0.5,0.25,0.25,59.5,0.26715
26,8,1000,0,1e-06,10,0.005,5e-05,5e-07,0.6,0.2,0.2,68.546,0.12494
27,8,1000,0,1e-06,10,0.005,5e-05,5e-07,0.7,0.15,0.15,89.167,0.28055
28,8,1000,0,1e-06,10,0.005,5e-05,5e-07,0.8,0.1,0.1,90.294,0.033888
29,9,1000,0,1e-06,4,0.005,5e-05,5e-07,0.5,0.25,0.25,156.99,0.20713
30,9,1000,0,1e-06,4,0.005,5e-05,5e-07,0.6,0.2,0.2,76.927,0.15913
31,9,1000,0,1e-06,4,0.005,5e-05,5e-07,0.7,0.15,0.15,118.15,-0.024982
32,9,1000,0,1e-06,4,0.005,5e-05,5e-07,0.8,0.1,0.1,110.72,-0.4137
33,9,1000,0,1e-06,5,0.005,5e-05,5e-07,0.5,0.25,0.25,96.383,0.0018768
34,9,1000,0,1e-06,5,0.005,5e-05,5e-07,0.6,0.2,0.2,75.979,0.087068
35,9,1000,0,1e-06,5,0.005,5e-05,5e-07,0.7,0.15,0.15,39.262,0.67477
36,9,1000,0,1e-06,5,0.005,5e-05,5e-07,0.8,0.1,0.1,116.15,0.07733
37,9,1000,0,1e-06,6,0.005,5e-05,5e-07,0.5,0.25,0.25,171.93,0.01239
38,9,1000,0,1e-06,6,0.005,5e-05,5e-07,0.6,0.2,0.2,41.183,0.62083
39,9,1000,0,1e-06,6,0.005,5e-05,5e-07,0.7,0.15,0.15,91.387,-0.0069324
40,9,1000,0,1e-06,6,0.005,5e-05,5e-07,0.8,0.1,0.1,68.419,0.36799
41,9,1000,0,1e-06,7,0.005,5e-05,5e-07,0.5,0.25,0.25,61.205,0.43226
42,9,1000,0,1e-06,7,0.005,5e-05,5e-07,0.6,0.2,0.2,121.32,-0.065131
43,9,1000,0,1e-06,7,0.005,5e-05,5e-07,0.7,0.15,0.15,140.95,0.083163
44,9,1000,0,1e-06,7,0.005,5e-05,5e-07,0.8,0.1,0.1,31.841,0.69679
45,9,1000,0,1e-06,8,0.005,5e-05,5e-07,0.5,0.25,0.25,163.69,-0.086702
46,9,1000,0,1e-06,8,0.005,5e-05,5e-07,0.6,0.2,0.2,113.73,0.14498
47,9,1000,0,1e-06,8,0.005,5e-05,5e-07,0.7,0.15,0.15,134.48,0.22509
48,9,1000,0,1e-06,8,0.005,5e-05,5e-07,0.8,0.1,0.1,260.61,-0.38705
49,9,1000,0,1e-06,9,0.005,5e-05,5e-07,0.5,0.25,0.25,123.21,-0.045712
50,9,1000,0,1e-06,9,0.005,5e-05,5e-07,0.6,0.2,0.2,101.25,-0.11187
51,9,1000,0,1e-06,9,0.005,5e-05,5e-07,0.7,0.15,0.15,62.418,0.18068
52,9,1000,0,1e-06,9,0.005,5e-05,5e-07,0.8,0.1,0.1,57.952,0.39263
53,9,1000,0,1e-06,10,0.005,5e-05,5e-07,0.5,0.25,0.25,199.23,-0.20649
54,9,1000,0,1e-06,10,0.005,5e-05,5e-07,0.6,0.2,0.2,70.189,0.064022
55,9,1000,0,1e-06,10,0.005,5e-05,5e-07,0.7,0.15,0.15,68.141,0.18743
56,9,1000,0,1e-06,10,0.005,5e-05,5e-07,0.8,0.1,0.1,78.922,-0.16228
57,10,1000,0,1e-06,4,0.005,5e-05,5e-07,0.5,0.25,0.25,58.299,0.45058
58,10,1000,0,1e-06,4,0.005,5e-05,5e-07,0.6,0.2,0.2,137.1,-0.204
59,10,1000,0,1e-06,4,0.005,5e-05,5e-07,0.7,0.15,0.15,133.86,-0.17409
60,10,1000,0,1e-06,4,0.005,5e-05,5e-07,0.8,0.1,0.1,135.25,-0.07825
61,10,1000,0,1e-06,5,0.005,5e-05,5e-07,0.5,0.25,0.25,97.49,0.012353
62,10,1000,0,1e-06,5,0.005,5e-05,5e-07,0.6,0.2,0.2,84.461,0.273
63,10,1000,0,1e-06,5,0.005,5e-05,5e-07,0.7,0.15,0.15,204.98,-0.43915
64,10,1000,0,1e-06,5,0.005,5e-05,5e-07,0.8,0.1,0.1,78.054,0.16102
65,10,1000,0,1e-06,6,0.005,5e-05,5e-07,0.5,0.25,0.25,79.453,-0.068742
66,10,1000,0,1e-06,6,0.005,5e-05,5e-07,0.6,0.2,0.2,104.87,-0.67512
67,10,1000,0,1e-06,6,0.005,5e-05,5e-07,0.7,0.15,0.15,72.95,0.14082
68,10,1000,0,1e-06,6,0.005,5e-05,5e-07,0.8,0.1,0.1,317.99,-0.66438
69,10,1000,0,1e-06,7,0.005,5e-05,5e-07,0.5,0.25,0.25,762.18,-0.58435
70,10,1000,0,1e-06,7,0.005,5e-05,5e-07,0.6,0.2,0.2,208.98,0.39064
71,10,1000,0,1e-06,7,0.005,5e-05,5e-07,0.7,0.15,0.15,45.667,0.60193
72,10,1000,0,1e-06,7,0.005,5e-05,5e-07,0.8,0.1,0.1,304.43,-0.13014
73,10,1000,0,1e-06,8,0.005,5e-05,5e-07,0.5,0.25,0.25,167.67,-0.41345
74,10,1000,0,1e-06,8,0.005,5e-05,5e-07,0.6,0.2,0.2,120.91,-0.06841
75,10,1000,0,1e-06,8,0.005,5e-05,5e-07,0.7,0.15,0.15,84.202,0.075352
76,10,1000,0,1e-06,8,0.005,5e-05,5e-07,0.8,0.1,0.1,65.197,0.22657
77,10,1000,0,1e-06,9,0.005,5e-05,5e-07,0.5,0.25,0.25,40.988,0.67103
78,10,1000,0,1e-06,9,0.005,5e-05,5e-07,0.6,0.2,0.2,64.36,0.16015
79,10,1000,0,1e-06,9,0.005,5e-05,5e-07,0.7,0.15,0.15,59.358,0.38436
80,10,1000,0,1e-06,9,0.005,5e-05,5e-07,0.8,0.1,0.1,65.361,0.33821
81,10,1000,0,1e-06,10,0.005,5e-05,5e-07,0.5,0.25,0.25,199.47,-0.35916
82,10,1000,0,1e-06,10,0.005,5e-05,5e-07,0.6,0.2,0.2,131.67,-0.133
83,10,1000,0,1e-06,10,0.005,5e-05,5e-07,0.7,0.15,0.15,105.34,-0.46937
84,10,1000,0,1e-06,10,0.005,5e-05,5e-07,0.8,0.1,0.1,132.56,-0.21515
85,11,1000,0,1e-06,4,0.005,5e-05,5e-07,0.5,0.25,0.25,137.7,-0.40782
86,11,1000,0,1e-06,4,0.005,5e-05,5e-07,0.6,0.2,0.2,95.883,0.047967
87,11,1000,0,1e-06,4,0.005,5e-05,5e-07,0.7,0.15,0.15,82.158,0.2688
88,11,1000,0,1e-06,4,0.005,5e-05,5e-07,0.8,0.1,0.1,111.34,-0.042635
89,11,1000,0,1e-06,5,0.005,5e-05,5e-07,0.5,0.25,0.25,51.232,0.57898
90,11,1000,0,1e-06,5,0.005,5e-05,5e-07,0.6,0.2,0.2,81.285,-0.056999
91,11,1000,0,1e-06,5,0.005,5e-05,5e-07,0.7,0.15,0.15,57.339,0.43267
92,11,1000,0,1e-06,5,0.005,5e-05,5e-07,0.8,0.1,0.1,86.794,0.033356
93,11,1000,0,1e-06,6,0.005,5e-05,5e-07,0.5,0.25,0.25,72.214,0.18805
94,11,1000,0,1e-06,6,0.005,5e-05,5e-07,0.6,0.2,0.2,71.245,0.45712
95,11,1000,0,1e-06,6,0.005,5e-05,5e-07,0.7,0.15,0.15,61.664,0.37552
96,11,1000,0,1e-06,6,0.005,5e-05,5e-07,0.8,0.1,0.1,76.61,0.036427
97,11,1000,0,1e-06,7,0.005,5e-05,5e-07,0.5,0.25,0.25,54.325,0.33881
98,11,1000,0,1e-06,7,0.005,5e-05,5e-07,0.6,0.2,0.2,127.13,-0.27661
99,11,1000,0,1e-06,7,0.005,5e-05,5e-07,0.7,0.15,0.15,231.98,-0.13975
100,11,1000,0,1e-06,7,0.005,5e-05,5e-07,0.8,0.1,0.1,92.194,-0.2125
101,11,1000,0,1e-06,8,0.005,5e-05,5e-07,0.5,0.25,0.25,122.62,0.022667
102,11,1000,0,1e-06,8,0.005,5e-05,5e-07,0.6,0.2,0.2,110.71,-0.37971
103,11,1000,0,1e-06,8,0.005,5e-05,5e-07,0.7,0.15,0.15,71.104,0.14062
104,11,1000,0,1e-06,8,0.005,5e-05,5e-07,0.8,0.1,0.1,94.27,-0.14537
105,11,1000,0,1e-06,9,0.005,5e-05,5e-07,0.5,0.25,0.25,86.389,0.1881
106,11,1000,0,1e-06,9,0.005,5e-05,5e-07,0.6,0.2,0.2,67.764,0.19843
107,11,1000,0,1e-06,9,0.005,5e-05,5e-07,0.7,0.15,0.15,58.086,0.52662
108,11,1000,0,1e-06,9,0.005,5e-05,5e-07,0.8,0.1,0.1,102.1,-0.014633
109,11,1000,0,1e-06,10,0.005,5e-05,5e-07,0.5,0.25,0.25,34.393,0.66248
110,11,1000,0,1e-06,10,0.005,5e-05,5e-07,0.6,0.2,0.2,86.714,-0.10814
111,11,1000,0,1e-06,10,0.005,5e-05,5e-07,0.7,0.15,0.15,75.302,-0.067769
112,11,1000,0,1e-06,10,0.005,5e-05,5e-07,0.8,0.1,0.1,95.524,-0.012517
113,12,1000,0,1e-06,4,0.005,5e-05,5e-07,0.5,0.25,0.25,335.85,-0.63005
114,12,1000,0,1e-06,4,0.005,5e-05,5e-07,0.6,0.2,0.2,78.491,0.096946
115,12,1000,0,1e-06,4,0.005,5e-05,5e-07,0.7,0.15,0.15,160.13,-0.040882
116,12,1000,0,1e-06,4,0.005,5e-05,5e-07,0.8,0.1,0.1,73.712,-0.053226
117,12,1000,0,1e-06,5,0.005,5e-05,5e-07,0.5,0.25,0.25,79.986,-0.044238
118,12,1000,0,1e-06,5,0.005,5e-05,5e-07,0.6,0.2,0.2,214.76,-0.25625
119,12,1000,0,1e-06,5,0.005,5e-05,5e-07,0.7,0.15,0.15,42.185,0.72865
120,12,1000,0,1e-06,5,0.005,5e-05,5e-07,0.8,0.1,0.1,117.35,0.16938
121,12,1000,0,1e-06,6,0.005,5e-05,5e-07,0.5,0.25,0.25,69.789,0.058826
122,12,1000,0,1e-06,6,0.005,5e-05,5e-07,0.6,0.2,0.2,137.96,0.22566
123,12,1000,0,1e-06,6,0.005,5e-05,5e-07,0.7,0.15,0.15,142.3,0.063126
124,12,1000,0,1e-06,6,0.005,5e-05,5e-07,0.8,0.1,0.1,38.831,0.61953
125,12,1000,0,1e-06,7,0.005,5e-05,5e-07,0.5,0.25,0.25,190.97,-0.34786
126,12,1000,0,1e-06,7,0.005,5e-05,5e-07,0.6,0.2,0.2,47.636,0.57652
127,12,1000,0,1e-06,7,0.005,5e-05,5e-07,0.7,0.15,0.15,68.234,0.31763
128,12,1000,0,1e-06,7,0.005,5e-05,5e-07,0.8,0.1,0.1,124.66,0.11587
129,12,1000,0,1e-06,8,0.005,5e-05,5e-07,0.5,0.25,0.25,66.429,0.38524
