1,neurons,spread,MSE,R
1,1,1,66.442,0.3306
2,1,2,66.211,0.3308
3,1,3,65.565,0.33404
4,1,4,64.473,0.33427
5,1,5,63.837,0.32653
6,1,6,63.602,0.31632
7,1,7,63.589,0.30601
8,1,8,63.525,0.30332
9,1,9,63.276,0.30701
10,1,10,61.849,0.36991
11,1,11,55.048,0.5838
12,1,12,55.39,0.58089
13,1,13,55.776,0.57524
14,1,14,56.203,0.56662
15,1,15,56.66,0.5552
16,1,16,57.135,0.54152
17,1,17,57.612,0.5263
18,1,18,58.08,0.51033
19,1,19,58.528,0.49431
20,1,20,58.952,0.47881
21,1,21,59.346,0.4642
22,1,22,59.709,0.45075
23,1,23,60.042,0.43858
24,1,24,60.345,0.42772
25,1,25,60.884,0.36819
26,1,26,61.08,0.36268
27,1,27,61.253,0.35824
28,1,28,61.408,0.35472
29,1,29,61.547,0.35201
30,1,30,61.672,0.34998
31,1,31,61.785,0.34854
32,1,32,61.889,0.34759
33,1,33,61.984,0.34704
34,1,34,62.073,0.34684
35,1,35,62.157,0.3469
36,1,36,62.236,0.34718
37,1,37,62.312,0.34762
38,1,38,62.386,0.34817
39,1,39,62.459,0.34881
40,1,40,62.531,0.34948
41,1,41,62.603,0.35018
42,1,42,62.674,0.35087
43,1,43,62.747,0.35153
44,1,44,62.82,0.35215
45,1,45,62.894,0.35272
46,1,46,62.969,0.35322
47,1,47,63.045,0.35365
48,1,48,63.123,0.354
49,1,49,63.202,0.35427
50,1,50,63.282,0.35445
51,3,1,63.826,0.6075
52,3,2,63.47,0.68569
53,3,3,60.204,0.69532
54,3,4,53.301,0.69879
55,3,5,47.751,0.69715
56,3,6,45.064,0.68704
57,3,7,44.746,0.65153
58,3,8,47.597,0.60614
59,3,9,49.87,0.56147
60,3,10,57.655,0.34972
61,3,11,48.396,0.58983
62,3,12,48.777,0.61485
63,3,13,50.152,0.58659
64,3,14,47.862,0.64558
65,3,15,49.264,0.61622
66,3,16,50.393,0.59329
67,3,17,51.564,0.5695
68,3,18,51.227,0.55365
69,3,19,51.873,0.57939
70,3,20,52.419,0.56305
71,3,21,53.054,0.54493
72,3,22,53.73,0.52584
73,3,23,54.41,0.50655
74,3,24,55.064,0.48773
75,3,25,52.636,0.48954
76,3,26,52.88,0.48323
77,3,27,53.198,0.4759
78,3,28,53.371,0.46817
79,3,29,53.77,0.4593
80,3,30,54.209,0.44983
81,3,31,54.675,0.43997
82,3,32,55.153,0.4299
83,3,33,55.629,0.41981
84,3,34,56.093,0.40984
85,3,35,56.538,0.40013
86,3,36,56.957,0.39081
87,3,37,57.347,0.38194
88,3,38,63.602,0.20325
89,3,39,63.476,0.20735
90,3,40,63.315,0.21271
91,3,41,63.12,0.21934
92,3,42,62.898,0.22722
93,3,43,62.652,0.23625
94,3,44,62.388,0.2463
95,3,45,62.113,0.25719
96,3,46,61.833,0.26864
97,3,47,61.555,0.28035
98,3,48,61.282,0.29197
99,3,49,61.021,0.30314
100,3,50,60.774,0.31352
101,5,1,62.291,0.60752
102,5,2,61.984,0.68613
103,5,3,58.614,0.69511
104,5,4,50.715,0.6974
105,5,5,44.723,0.69589
106,5,6,42.176,0.68705
107,5,7,41.503,0.64961
108,5,8,41.905,0.69193
109,5,9,43.773,0.66098
110,5,10,53.188,0.44464
111,5,11,42.113,0.62097
112,5,12,39.367,0.69783
113,5,13,39.949,0.68831
114,5,14,38.555,0.70804
115,5,15,39.338,0.68707
116,5,16,40.04,0.67076
117,5,17,41.06,0.65178
118,5,18,42.582,0.65618
119,5,19,44.406,0.57428
120,5,20,44.745,0.56586
121,5,21,45.142,0.5572
122,5,22,45.561,0.54873
123,5,23,45.973,0.54085
124,5,24,46.354,0.53383
125,5,25,44.327,0.55669
126,5,26,44.181,0.55874
127,5,27,44.096,0.55999
128,5,28,44.029,0.56059
129,5,29,44.029,0.56045
130,5,30,44.084,0.5597
131,5,31,44.185,0.55843
132,5,32,44.326,0.55675
133,5,33,44.497,0.55474
134,5,34,55.79,0.39024
135,5,35,56.369,0.38308
136,5,36,56.994,0.3755
137,5,37,57.657,0.36756
138,5,38,60.102,0.25563
139,5,39,60.526,0.24635
140,5,40,60.901,0.23812
141,5,41,61.404,0.23371
142,5,42,61.49,0.23028
143,5,43,62.63,0.19914
144,5,44,62.343,0.20481
145,5,45,62.008,0.2115
146,5,46,61.629,0.21919
147,5,47,61.21,0.22784
148,5,48,60.758,0.23741
149,5,49,68.363,0.1799
150,5,50,67.907,0.18973
151,7,1,61.467,0.60753
152,7,2,61.213,0.68645
153,7,3,57.609,0.69555
154,7,4,49.347,0.69856
155,7,5,42.861,0.69117
156,7,6,39.924,0.71309
157,7,7,39.009,0.67067
158,7,8,37.644,0.70317
159,7,9,38.803,0.67727
160,7,10,49.199,0.51577
161,7,11,35.326,0.69099
162,7,12,44.469,0.54432
163,7,13,32.131,0.77127
164,7,14,43.059,0.56217
165,7,15,36.746,0.68017
166,7,16,37.522,0.66291
167,7,17,38.722,0.6419
168,7,18,35.353,0.68581
169,7,19,36.613,0.66666
170,7,20,37.835,0.64864
171,7,21,44.884,0.57
172,7,22,48.398,0.50508
173,7,23,48.993,0.49531
174,7,24,49.577,0.48604
175,7,25,43.864,0.56593
176,7,26,44.494,0.55709
177,7,27,45.082,0.54896
178,7,28,45.69,0.54121
179,7,29,40.071,0.61487
180,7,30,46.65,0.51023
181,7,31,48.222,0.4922
182,7,32,48.382,0.49033
183,7,33,55.445,0.42726
184,7,34,58.848,0.34458
185,7,35,55.266,0.39731
186,7,36,55.769,0.39139
187,7,37,56.323,0.38493
188,7,38,60.767,0.32339
189,7,39,61.333,0.31714
190,7,40,61.927,0.31054
191,7,41,66.357,0.26622
192,7,42,67.165,0.25149
193,7,43,60.175,0.25471
194,7,44,60.197,0.25286
195,7,45,62.395,0.20365
196,7,46,92.975,-0.14566
197,7,47,93.583,-0.14582
198,7,48,94.121,-0.14529
199,7,49,94.593,-0.14414
200,7,50,95.007,-0.14244
201,9,1,61.022,0.60753
202,9,2,60.828,0.68665
203,9,3,57.133,0.6966
204,9,4,48.368,0.69899
205,9,5,40.527,0.72706
206,9,6,37.897,0.70232
207,9,7,38.1,0.64505
208,9,8,34.67,0.73251
209,9,9,34.991,0.72194
210,9,10,38.111,0.65866
211,9,11,34.31,0.68346
212,9,12,37.948,0.6368
213,9,13,39.643,0.6089
214,9,14,43.216,0.55007
215,9,15,43.298,0.55332
216,9,16,34.48,0.68065
217,9,17,35.675,0.66166
218,9,18,35.117,0.6797
219,9,19,36.584,0.65863
220,9,20,38.099,0.63773
221,9,21,39.539,0.61836
222,9,22,40.837,0.60123
223,9,23,58.796,0.40937
224,9,24,60.049,0.39606
225,9,25,41.002,0.59371
226,9,26,41.598,0.58591
227,9,27,42.143,0.57884
228,9,28,42.798,0.57163
229,9,29,43.208,0.566
230,9,30,88.86,0.068866
231,9,31,88.297,0.067835
232,9,32,87.789,0.065525
233,9,33,58.251,0.38876
234,9,34,56.647,0.41338
235,9,35,57.329,0.40304
236,9,36,58.14,0.34837
237,9,37,58.569,0.34372
238,9,38,59.039,0.33867
239,9,39,59.549,0.33324
240,9,40,60.096,0.32744
241,9,41,66.996,0.2924
242,9,42,68.013,0.28134
243,9,43,69.008,0.27058
244,9,44,69.982,0.26006
245,9,45,66.841,0.19942
246,9,46,68.66,0.24022
247,9,47,68.947,0.23714
248,9,48,69.159,0.23512
249,9,49,95.682,-0.11783
250,9,50,96.777,-0.1194
251,11,1,60.818,0.60754
252,11,2,60.693,0.68691
253,11,3,56.74,0.74485
254,11,4,47.046,0.74426
255,11,5,39.349,0.73113
256,11,6,36.358,0.70768
257,11,7,31.158,0.75562
258,11,8,34.56,0.69344
259,11,9,33.325,0.73066
260,11,10,35.64,0.67453
261,11,11,30.509,0.73223
262,11,12,35.549,0.66296
263,11,13,36.977,0.64108
264,11,14,39.905,0.59857
265,11,15,41.849,0.56554
266,11,16,42.579,0.55701
267,11,17,43.554,0.5459
268,11,18,32.499,0.69033
269,11,19,34.123,0.67011
270,11,20,35.805,0.64966
271,11,21,37.404,0.63042
272,11,22,38.836,0.61323
273,11,23,56.152,0.43472
274,11,24,57.656,0.4199
275,11,25,40.152,0.60445
276,11,26,40.97,0.5971
277,11,27,41.715,0.5905
278,11,28,41.972,0.58374
279,11,29,52.159,0.47815
280,11,30,86.344,0.13506
281,11,31,85.459,0.14165
282,11,32,84.575,0.14744
283,11,33,58.378,0.39401
284,11,34,48.548,0.51546
285,11,35,49.257,0.50601
286,11,36,49.943,0.49678
287,11,37,50.603,0.48785
288,11,38,71.862,0.30651
289,11,39,73.028,0.30071
290,11,40,74.097,0.2953
291,11,41,91.18,0.028572
292,11,42,91.779,0.021868
293,11,43,88.073,0.067023
294,11,44,88.394,0.061607
295,11,45,77.616,0.15692
296,11,46,63.054,0.30596
297,11,47,63.361,0.3032
298,11,48,63.612,0.30119
299,11,49,63.812,0.29987
300,11,50,66.915,0.25898
301,13,1,60.829,0.6237
302,13,2,60.805,0.73163
303,13,3,54.332,0.48179
304,13,4,43.421,0.72575
305,13,5,34.571,0.7793
306,13,6,29.553,0.80387
307,13,7,29.052,0.7629
308,13,8,31.749,0.71877
309,13,9,32.092,0.7097
310,13,10,32.83,0.6993
311,13,11,45.145,0.5264
312,13,12,60.663,0.38779
313,13,13,66.158,0.33969
314,13,14,38.772,0.60526
315,13,15,41.278,0.57222
316,13,16,42.147,0.56575
317,13,17,43.289,0.5569
318,13,18,31.659,0.69834
319,13,19,33.667,0.67945
320,13,20,35.757,0.66002
321,13,21,37.743,0.64148
322,13,22,39.517,0.62473
323,13,23,53.542,0.46379
324,13,24,54.866,0.45256
325,13,25,44.361,0.5759
326,13,26,46.172,0.55949
327,13,27,47.93,0.5434
328,13,28,54.56,0.48049
329,13,29,56.342,0.46066
330,13,30,85.54,0.19838
331,13,31,84.596,0.207
332,13,32,83.621,0.21477
333,13,33,70.87,0.30158
334,13,34,70.905,0.27905
335,13,35,71.326,0.27307
336,13,36,71.685,0.26768
337,13,37,92.077,0.17818
338,13,38,93.016,0.17728
339,13,39,93.78,0.17733
340,13,40,94.361,0.17829
341,13,41,68.855,0.28897
342,13,42,70.006,0.27193
343,13,43,62.724,0.37039
344,13,44,62.779,0.36506
345,13,45,76.91,0.22395
346,13,46,63.151,0.36875
347,13,47,63.369,0.36653
348,13,48,63.564,0.36444
349,13,49,63.737,0.36249
350,13,50,61.052,0.39847
351,15,1,61.059,0.21037
352,15,2,59.811,0.22812
353,15,3,49.99,0.63253
354,15,4,43.177,0.72239
355,15,5,33.71,0.77964
356,15,6,27.801,0.80619
357,15,7,26.69,0.77577
358,15,8,30.033,0.73598
359,15,9,32.645,0.69964
360,15,10,36.523,0.64063
361,15,11,42.626,0.55436
362,15,12,56.907,0.42589
363,15,13,61.654,0.3873
364,15,14,35.084,0.65075
365,15,15,43.731,0.54604
366,15,16,39.221,0.61844
367,15,17,40.573,0.60732
368,15,18,54.787,0.46591
369,15,19,38.02,0.64022
370,15,20,41.334,0.61299
371,15,21,44.701,0.58603
372,15,22,40.549,0.61687
373,15,23,49.647,0.5363
374,15,24,51.825,0.51994
