no,n_estimators,max_depth,eta,subsample,colsample_bytree,MSE,R
1,100,1,0,0,0,68.77345456,nan
2,100,1,0,0,0.1,68.77345456,nan
3,100,1,0,0,0.2,68.77345456,nan
4,100,1,0,0,0.3,68.77345456,nan
5,100,1,0,0,0.4,68.77345456,nan
6,100,1,0,0,0.5,68.77345456,nan
7,100,1,0,0,0.6,68.77345456,nan
8,100,1,0,0,0.7,68.77345456,nan
9,100,1,0,0,0.8,68.77345456,nan
10,100,1,0,0,0.9,68.77345456,nan
11,100,1,0,0.1,0,68.77345456,nan
12,100,1,0,0.1,0.1,68.77345456,nan
13,100,1,0,0.1,0.2,68.77345456,nan
14,100,1,0,0.1,0.3,68.77345456,nan
15,100,1,0,0.1,0.4,68.77345456,nan
16,100,1,0,0.1,0.5,68.77345456,nan
17,100,1,0,0.1,0.6,68.77345456,nan
18,100,1,0,0.1,0.7,68.77345456,nan
19,100,1,0,0.1,0.8,68.77345456,nan
20,100,1,0,0.1,0.9,68.77345456,nan
21,100,1,0,0.2,0,68.77345456,nan
22,100,1,0,0.2,0.1,68.77345456,nan
23,100,1,0,0.2,0.2,68.77345456,nan
24,100,1,0,0.2,0.3,68.77345456,nan
25,100,1,0,0.2,0.4,68.77345456,nan
26,100,1,0,0.2,0.5,68.77345456,nan
27,100,1,0,0.2,0.6,68.77345456,nan
28,100,1,0,0.2,0.7,68.77345456,nan
29,100,1,0,0.2,0.8,68.77345456,nan
30,100,1,0,0.2,0.9,68.77345456,nan
31,100,1,0,0.3,0,68.77345456,nan
32,100,1,0,0.3,0.1,68.77345456,nan
33,100,1,0,0.3,0.2,68.77345456,nan
34,100,1,0,0.3,0.3,68.77345456,nan
35,100,1,0,0.3,0.4,68.77345456,nan
36,100,1,0,0.3,0.5,68.77345456,nan
37,100,1,0,0.3,0.6,68.77345456,nan
38,100,1,0,0.3,0.7,68.77345456,nan
39,100,1,0,0.3,0.8,68.77345456,nan
40,100,1,0,0.3,0.9,68.77345456,nan
41,100,1,0,0.4,0,68.77345456,nan
42,100,1,0,0.4,0.1,68.77345456,nan
43,100,1,0,0.4,0.2,68.77345456,nan
44,100,1,0,0.4,0.3,68.77345456,nan
45,100,1,0,0.4,0.4,68.77345456,nan
46,100,1,0,0.4,0.5,68.77345456,nan
47,100,1,0,0.4,0.6,68.77345456,nan
48,100,1,0,0.4,0.7,68.77345456,nan
49,100,1,0,0.4,0.8,68.77345456,nan
50,100,1,0,0.4,0.9,68.77345456,nan
51,100,1,0,0.5,0,68.77345456,nan
52,100,1,0,0.5,0.1,68.77345456,nan
53,100,1,0,0.5,0.2,68.77345456,nan
54,100,1,0,0.5,0.3,68.77345456,nan
55,100,1,0,0.5,0.4,68.77345456,nan
56,100,1,0,0.5,0.5,68.77345456,nan
57,100,1,0,0.5,0.6,68.77345456,nan
58,100,1,0,0.5,0.7,68.77345456,nan
59,100,1,0,0.5,0.8,68.77345456,nan
60,100,1,0,0.5,0.9,68.77345456,nan
61,100,1,0,0.6,0,68.77345456,nan
62,100,1,0,0.6,0.1,68.77345456,nan
63,100,1,0,0.6,0.2,68.77345456,nan
64,100,1,0,0.6,0.3,68.77345456,nan
65,100,1,0,0.6,0.4,68.77345456,nan
66,100,1,0,0.6,0.5,68.77345456,nan
67,100,1,0,0.6,0.6,68.77345456,nan
68,100,1,0,0.6,0.7,68.77345456,nan
69,100,1,0,0.6,0.8,68.77345456,nan
70,100,1,0,0.6,0.9,68.77345456,nan
71,100,1,0,0.7,0,68.77345456,nan
72,100,1,0,0.7,0.1,68.77345456,nan
73,100,1,0,0.7,0.2,68.77345456,nan
74,100,1,0,0.7,0.3,68.77345456,nan
75,100,1,0,0.7,0.4,68.77345456,nan
76,100,1,0,0.7,0.5,68.77345456,nan
77,100,1,0,0.7,0.6,68.77345456,nan
78,100,1,0,0.7,0.7,68.77345456,nan
79,100,1,0,0.7,0.8,68.77345456,nan
80,100,1,0,0.7,0.9,68.77345456,nan
81,100,1,0,0.8,0,68.77345456,nan
82,100,1,0,0.8,0.1,68.77345456,nan
83,100,1,0,0.8,0.2,68.77345456,nan
84,100,1,0,0.8,0.3,68.77345456,nan
85,100,1,0,0.8,0.4,68.77345456,nan
86,100,1,0,0.8,0.5,68.77345456,nan
87,100,1,0,0.8,0.6,68.77345456,nan
88,100,1,0,0.8,0.7,68.77345456,nan
89,100,1,0,0.8,0.8,68.77345456,nan
90,100,1,0,0.8,0.9,68.77345456,nan
91,100,1,0,0.9,0,68.77345456,nan
92,100,1,0,0.9,0.1,68.77345456,nan
93,100,1,0,0.9,0.2,68.77345456,nan
94,100,1,0,0.9,0.3,68.77345456,nan
95,100,1,0,0.9,0.4,68.77345456,nan
96,100,1,0,0.9,0.5,68.77345456,nan
97,100,1,0,0.9,0.6,68.77345456,nan
98,100,1,0,0.9,0.7,68.77345456,nan
99,100,1,0,0.9,0.8,68.77345456,nan
100,100,1,0,0.9,0.9,68.77345456,nan
101,100,1,0.1,0,0,68.77345456,nan
102,100,1,0.1,0,0.1,68.77345456,nan
103,100,1,0.1,0,0.2,68.77345456,nan
