,n_iter,Number of Ants,alpha,beta,Evaporation rate,n_node,MSE,R
1,200,100,0.4,0.4,0.1,500,9.574841242,0.966189923
2,200,100,0.4,0.4,0.1,600,8.951312377,0.96717173
3,200,100,0.4,0.4,0.1,700,9.208210166,0.966776675
4,200,100,0.4,0.4,0.1,800,9.545169732,0.967037887
5,200,100,0.4,0.4,0.1,900,9.294421318,0.967156691
6,200,100,0.4,0.4,0.1,1000,9.08202914,0.959468262
7,200,100,0.4,0.4,0.2,500,10.03246443,0.966757146
8,200,100,0.4,0.4,0.2,600,10.2914999,0.966528221
9,200,100,0.4,0.4,0.2,700,11.43254455,0.966164676
10,200,100,0.4,0.4,0.2,800,9.833352866,0.966849142
11,200,100,0.4,0.4,0.2,900,10.2307481,0.962485015
12,200,100,0.4,0.4,0.2,1000,12.57436466,0.965549786
13,200,100,0.4,0.4,0.3,500,11.9630657,0.9660309
14,200,100,0.4,0.4,0.3,600,12.88426786,0.965666477
15,200,100,0.4,0.4,0.3,700,12.00624094,0.965920476
16,200,100,0.4,0.4,0.3,800,11.88734354,0.965980548
17,200,100,0.4,0.4,0.3,900,13.35226673,0.965896546
18,200,100,0.4,0.4,0.3,1000,15.49578512,0.965274775
19,200,100,0.4,0.4,0.4,500,15.25017392,0.959400793
20,200,100,0.4,0.4,0.4,600,13.82309444,0.960158151
21,200,100,0.4,0.4,0.4,700,13.41770508,0.96117921
22,200,100,0.4,0.4,0.4,800,11.91658019,0.961075692
23,200,100,0.4,0.4,0.4,900,20.18127858,0.965059341
24,200,100,0.4,0.4,0.4,1000,12.42501017,0.965975677
25,200,100,0.4,0.4,0.5,500,23.43290372,0.964646564
26,200,100,0.4,0.4,0.5,600,19.30394517,0.959185431
27,200,100,0.4,0.4,0.5,700,18.11608379,0.959963931
28,200,100,0.4,0.4,0.5,800,17.93277745,0.959954267
29,200,100,0.4,0.4,0.5,900,17.70808296,0.959899545
30,200,100,0.4,0.4,0.5,1000,21.16309641,0.95938636
